Nb;CostH1yr;CostMRR1yr;CostYRR1yr;CostH3yr;CostMRR3yr;CostYRR3yr1yr;CostYRR3yr;ODH;ODMRR;ODYRR;SnapG/M;gp2G/M;gp3G/M;io1G/M;st1G/M;s3<50T;s3<450T;s3>500T;glacierG/M;Ec2Type;CPU;RAM;SAPS;Hana;S/4;BW/4;PROD;OS;Region Code;Region Name
58;1,9439;1419,07;17028,87;1,256;916,9;11002,81;33008,42;2,8791;2101,75;25221,01;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i3en.6xlarge;24;192;34693;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
59;0,1788;130,54;1566,48;0,1198;87,44;1049,31;3147,94;0,2789;203,62;2443,4;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i3en.large;2;16;2891;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
60;7,6217;5563,86;66766,35;4,8872;3567,67;42812,01;128436,04;11,1956;8172,78;98073,39;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i3en.metal;96;768;143230;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
61;0,3585;261,7;3140,45;0,2404;175,51;2106,12;6318,37;0,5099;372,26;4467,08;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i3en.xlarge;4;32;5782;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
62;2,7893;2036,17;24434,03;1,9987;1459,05;17508,55;52525,66;4,308;3144,82;37737,83;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i4i.12xlarge;384;384;73519;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
63;3,7022;2702,61;32431,3;2,6498;1934,36;23212,33;69636,98;5,7086;4167,28;50007,31;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i4i.16xlarge;64;512;98025;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
64;5,5277;4035,22;48422,62;3,9513;2884,44;34613,27;103839,82;8,5097;6212,06;74544,77;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i4i.24xlarge;768;768;147038;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
65;0,5074;370,38;4444,59;0,3713;271,07;3252,87;9758,62;0,8068;588,99;7067,88;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i4i.2xlarge;8;64;12253;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
66;7,3532;5367,82;64413,87;5,253;3834,68;46016,17;138048,5;11,3106;8256,73;99080,73;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i4i.32xlarge;128;1024;196050;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
67;0,9643;703,91;8446,98;0,6973;509,04;6108,51;18325,52;1,5076;1100,53;13206,37;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i4i.4xlarge;16;128;24506;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
